volume,tipo,caratteri
V017,440_struttura,173243
V018,441_cornice,1584
V018,442_racconto incastonato,731
V018,443_racconto incastonato,765
V018,444_racconto incastonato,1436
V018,445_racconto incastonato,1647
V018,446_racconto incastonato,1398
V018,447_racconto incastonato,2397
V018,448_racconto incastonato,1732
V018,449_racconto incastonato,1590
V018,450_racconto incastonato,1161
V018,451_racconto incastonato,1268
V018,452_cornice,3114
V018,453_cornice,3881
V018,454_racconto incastonato,1844
V018,455_racconto incastonato,1499
V018,456_racconto incastonato,1466
V018,457_racconto incastonato,1480
V018,458_racconto incastonato,1599
V018,459_cornice,2736
V018,460_cornice,2194
V018,461_racconto incastonato,1587
V018,462_racconto incastonato,2471
V018,463_racconto incastonato,1971
V018,464_racconto incastonato,1690
V018,465_racconto incastonato,1786
V018,466_cornice,1314
V018,467_cornice,2300
V018,468_racconto incastonato,1933
V018,469_racconto incastonato,1192
V018,470_racconto incastonato,1740
V018,471_racconto incastonato,1034
V018,472_racconto incastonato,1874
V018,473_cornice,1172
V018,474_cornice,2095
V018,475_racconto incastonato,1010
V018,476_racconto incastonato,1050
V018,477_racconto incastonato,906
V018,478_racconto incastonato,2613
V018,479_racconto incastonato,2145
V018,480_cornice,397
V018,481_cornice,2815
V018,482_racconto incastonato,2163
V018,483_racconto incastonato,2043
V018,484_racconto incastonato,1608
V018,485_racconto incastonato,2544
V018,486_racconto incastonato,2301
V018,487_cornice,1966
V018,488_cornice,1920
V018,489_racconto incastonato,1068
V018,490_racconto incastonato,3697
V018,491_racconto incastonato,2631
V018,492_racconto incastonato,2941
V018,493_racconto incastonato,3485
V018,494_cornice,1271
V018,495_cornice,3856
V018,496_cornice,1826
V018,497_racconto incastonato,763
V018,498_racconto incastonato,1222
V018,499_racconto incastonato,1052
V018,500_racconto incastonato,1708
V018,501_cornice,1692
V018,502_cornice,1610
V018,503_cornice,2549
V018,504_cornice,2228
V018,505_racconto incastonato,4205
V018,506_racconto incastonato,1530
V018,507_racconto incastonato,2631
V018,508_racconto incastonato,1837
V018,509_racconto incastonato,2386
V018,510_racconto incastonato,2302
V018,511_racconto incastonato,2470
V018,512_racconto incastonato,2772
V018,513_racconto incastonato,2262
V018,514_racconto incastonato,3178
V018,515_cornice,1945
V019,516_struttura,62830
V019,517_struttura,98778
V021,518_racconto incastonato,26102
V021,519_interazione,5179
V021,520_racconto incastonato,13648
V021,521_interazione,2304
V021,522_interazione,2076
V021,523_interazione,2946
V021,524_interazione,45030
V021,525_interazione,27985
V021,526_interazione,3891
V021,527_interazione,65027
V021,528_racconto incastonato,13597
V021,529_interazione,10811
V021,530_interazione,8322
V021,531_interazione,28544
V021,532_racconto incastonato,53561
V021,533_racconto incastonato,21550
V021,534_interazione,8323
V021,535_interazione,6485
V021,536_interazione,15064
V021,537_interazione,1047
V021,538_racconto incastonato,15434
V021,539_interazione,10821
V021,540_interazione,347
V022,541_struttura,65001
V022,542_struttura,52483
V022,543_struttura,47075
V023,544_struttura,281176
V023,545_struttura,129693
V023,546_struttura,104541
V023,547_struttura,91199
V018,,
V019,,
V021,,
V022,,
V023,,
