volume,tipo,caratteri
V004,iniziativa/piano,238
V004,angoscia/delusione,705
V004,inseguimento/ricerca,1882
V004,partenza/sparizione,536
V004,angoscia/delusione,2759
V004,incontro maschile,1196
V004,smarrimento/dubbio,829
V004,compito/missione,1278
V004,successo,400
V004,incontro maschile,954
V004,illusione/speranza,475
V004,successo,857
V004,smarrimento/dubbio,1898
V004,incontro di gruppo,1123
V004,angoscia/delusione,769
V004,struttura,27190
V004,attesa,466
V004,incontro femminile,1836
V004,guerra,237
V004,incontro maschile,1629
V004,morte,146
V004,guerra,1130
V004,morte,161
V004,angoscia/delusione,858
V004,pausa/sospensione,1628
V004,compito/missione,1656
V004,incontro di gruppo,1109
V004,angoscia/delusione,475
V004,smarrimento/dubbio,1135
V004,incontro maschile,2390
V004,attesa,1201
V004,angoscia/delusione,1115
V004,illusione/speranza,890
V004,compito/missione,1112
V004,incontro maschile,493
V004,aggressione/scontro,2328
V004,compito/missione,346
V004,riflessione,669
V004,illusione/speranza,1406
V004,incontro maschile,1225
V004,morte,120
V004,angoscia/delusione,647
V004,visione,491
V004,angoscia/delusione,674
V004,struttura,39484
V004,compito/missione,411
V004,illusione/speranza,1984
V004,smarrimento/dubbio,1373
V004,incontro maschile,975
V004,aggressione/scontro,864
V004,ostacolo,597
V004,inseguimento/ricerca,1221
V004,incontro femminile,3366
V004,aggressione/scontro,680
V004,ostacolo,1221
V004,inseguimento/ricerca,479
V004,attesa,2660
V004,incontro maschile,2272
V004,aggressione/scontro,677
V004,compito/missione,1413
V004,incontro maschile,1414
V004,iniziativa/piano,2489
V004,angoscia/delusione,1380
V004,smarrimento/dubbio,90893
V004,incontro di gruppo,1802
V004,incontro maschile,1338
V004,incontro femminile,1579
V004,incontro maschile,735
V004,incontro femminile,747
V004,attesa,1630
V004,incontro maschile,872
V004,fuga,455
V004,incontro femminile,735
V004,partenza/sparizione,314
V004,angoscia/delusione,1814
V004,guerra,1076
V004,incontro maschile,415
V004,visione,1775
V005,,
V005,aggressione/scontro,682
V005,racconto incastonato,18159
V005,incontro maschile,516
V005,incontro femminile,2439
V005,incontro femminile,2999
V005,iniziativa/piano,2250
V005,fallimento,1384
V005,partenza/sparizione,3297
V005,viaggio,5988
V005,incontro femminile,23428
V005,aggressione/scontro,6658
V005,fuga,828
V005,incontro maschile,2406
V005,compito/missione,2956
V005,angoscia/delusione,4211
