volume,tipo,caratteri
V005,spostamento,1966
V005,interazione,2680
V005,spostamento,7268
V005,interazione,10079
V005,interazione,2705
V005,spostamento,12467
V005,spostamento,3350
V005,angoscia/delusione,1635
V005,interazione,7390
V005,spostamento,35287
V005,pausa/sospensione,12081
V005,spostamento,657
V005,angoscia/delusione,2414
V005,spostamento,2257
V005,interazione,6129
V005,interazione,5860
V005,spostamento,1654
V005,spostamento,5772
V005,angoscia/delusione,1317
V005,smarrimento/dubbio,10146
V005,interazione,1743
V005,interazione,12318
V005,interazione,2859
V005,spostamento,2055
V005,interazione,0
V005,spostamento,3036
V005,racconto incastonato,4693
V005,interazione,1302
V005,angoscia/delusione,1058
V005,interazione,398
V005,spostamento,825
V005,interazione,3570
V005,interazione,3271
V005,interazione,1645
V006,spostamento,413374
V006,spostamento,170394
V006,angoscia/delusione,159597
V006,spostamento,341674
V007,metanarrazione,2217
V007,,2530
V007,struttura,1279
V007,struttura,1562
V007,struttura,224
V007,struttura,1608
V007,,4811
V007,illusione/speranza,541
V007,angoscia/delusione,338
V007,illusione/speranza,783
V007,interazione,2771
V007,spostamento,4466
V007,rivelazione,2013
V007,angoscia/delusione,935
V007,intenzione,559
V007,angoscia/delusione,272
V007,illusione/speranza,590
V007,angoscia/delusione,2372
V007,interazione,644
V007,illusione/speranza,1015
V007,angoscia/delusione,1403
V007,interazione,1012
V007,illusione/speranza,1412
V007,intenzione,1444
V007,angoscia/delusione,2878
V007,smarrimento/dubbio,871
V007,angoscia/delusione,626
V007,visione,666
V007,angoscia/delusione,518
V007,interazione,1177
V007,interazione,4657
V007,interazione,293
V007,angoscia/delusione,2232
V007,interazione,475
V007,spostamento,1298
V007,intenzione,1284
V007,angoscia/delusione,949
V007,interazione,1105
V007,spostamento,984
V007,angoscia/delusione,2713
V008,intenzione,5013
V008,spostamento,9397
V008,interazione,4100
V008,angoscia/delusione,1499
V008,spostamento,2184
V008,angoscia/delusione,11339
V008,illusione/speranza,2652
V008,,1316
V008,interazione,4497
V008,smarrimento/dubbio,1636
V008,smarrimento/dubbio,2294
V008,smarrimento/dubbio,6003
V008,smarrimento/dubbio,1855
V008,interazione,5546
V008,cornice,5748
V008,smarrimento/dubbio,2022
V008,interazione,954
V008,smarrimento/dubbio,2155
V008,interazione,3971
V008,interazione,1984
V008,cornice,17795
V008,interazione,1032
V008,interazione,1140
V008,interazione,917
V008,cornice,462
V008,interazione,1077
V008,interazione,3953
V008,cornice,742
V008,interazione,1585
V008,spostamento,480
V008,spostamento,3798
V008,spostamento,2225
V008,spostamento,7563
V008,cornice,449
V008,spostamento,4343
V008,interazione,1797
V008,interazione,1117
V008,interazione,2181
V008,interazione,1393
V008,smarrimento/dubbio,572
V008,interazione,620
V008,spostamento,1260
V008,cornice,13086
V008,spostamento,210
V008,spostamento,252
V008,interazione,1966
V008,interazione,533
V008,spostamento,132
V008,spostamento,131
V008,spostamento,2573
V008,interazione,2183
V008,spostamento,1343
V008,smarrimento/dubbio,3509
V008,interazione,367
V008,rivelazione,574
V008,spostamento,351
V008,spostamento,489
V008,rivelazione,2225
V008,spostamento,3155
V009,interazione,564
V009,interazione,4620
V009,spostamento,284
V009,spostamento,5443
V009,spostamento,4524
V009,interazione,621
V009,interazione,6509
V009,cornice,2031
V009,,2131
V009,spostamento,801
V009,riflessione,1413
V009,spostamento,1613
V009,riflessione,1640
V009,riflessione,5637
V009,interazione,8188
V009,riflessione,890
V009,interazione,1675
V009,riflessione,4632
V009,interazione,940
V009,riflessione,6571
V009,interazione,20398
V009,riflessione,5807
V009,interazione,6859
V009,riflessione,1696
V009,interazione,3964
V009,riflessione,2919
V009,interazione,2432
V009,pausa/sospensione,1262
V009,interazione,2498
V009,pausa/sospensione,1027
V010,interazione,2880
V010,interazione,3523
V010,interazione,1435
V010,interazione,4418
V010,pausa/sospensione,575
V010,interazione,284
V010,riflessione,7035
V010,interazione,82
V010,riflessione,4967
V010,,1188
V010,spostamento,4789
V010,interazione,866
V010,riflessione,4075
V010,intenzione,794
V010,interazione,9120
V010,intenzione,1013
V010,interazione,988
V010,intenzione,4882
V010,interazione,6261
V010,spostamento,16457
V010,interazione,9471
V010,intenzione,4013
V010,interazione,1068
V010,intenzione,929
V010,interazione,4117
V010,intenzione,2645
V010,intenzione,1525
V010,interazione,6535
V010,interazione,697
